arduino_timestamp,system_timestamp,steering_normalized,throttle_normalized,steering_raw_us,throttle_raw_us,steering_period_us,throttle_period_us
33,1758997996.003673,0.0,0.0,1592,0,0,0
66,1758997996.0041807,0.1971,0.0,1592,0,21292,0
99,1758997996.0046601,0.1888,0.0,1588,0,21296,0
132,1758997996.0051453,0.1971,0.0,1592,0,21292,0
165,1758997996.0054371,0.1965,0.0,1592,0,21296,0
198,1758997996.0057235,0.1971,0.0,1592,0,21292,0
231,1758997996.0060096,0.1971,0.0,1592,0,21292,0
264,1758997996.0062952,0.1965,0.0,1592,0,21296,0
297,1758997996.006595,0.1965,0.0,1592,0,21296,0
330,1758997996.0068812,0.1888,0.0,1588,0,21296,0
363,1758997996.0071712,0.1965,0.0,1592,0,21296,0
396,1758997996.0074615,0.1738,0.0,1580,0,21292,0
429,1758997996.0077486,0.1888,0.0,1588,0,21296,0
462,1758997996.0080428,0.1965,0.0,1592,0,21296,0
495,1758997996.0083296,0.1965,0.0,1592,0,21296,0
528,1758997996.0086408,0.1959,0.0,1592,0,21300,0
561,1758997996.008932,0.1971,0.0,1592,0,21292,0
594,1758997996.009219,0.1965,0.0,1592,0,21296,0
627,1758997996.009505,0.1971,0.0,1592,0,21292,0
660,1758997996.0098321,0.1965,0.0,1592,0,21296,0
693,1758997996.010123,0.1971,0.0,1592,0,21292,0
726,1758997996.0104103,0.1888,0.0,1588,0,21296,0
759,1758997996.0106962,0.1971,0.0,1592,0,21292,0
792,1758997996.0110042,0.1965,0.0,1592,0,21296,0
825,1758997996.011295,0.1971,0.0,1592,0,21292,0
858,1758997996.0115821,0.1965,0.0,1592,0,21296,0
891,1758997996.0118906,0.1965,0.0,1592,0,21296,0
924,1758997996.0121775,0.1971,0.0,1592,0,21292,0
957,1758997996.0124633,0.1965,0.0,1592,0,21296,0
990,1758997996.012749,0.1971,0.0,1592,0,21292,0
1024,1758997996.013046,0.1965,0.0,1592,0,21296,0
1057,1758997996.0133405,0.1965,0.0,1592,0,21296,0
1090,1758997996.0137675,0.1959,0.0,1592,0,21300,0
1123,1758997996.014081,0.1965,0.0,1592,0,21296,0
1156,1758997996.0143752,0.1882,0.0,1588,0,21300,0
1189,1758997996.0146682,0.1971,0.0,1592,0,21292,0
1222,1758997996.014961,0.1882,0.0,1588,0,21300,0
1255,1758997996.0152695,0.1971,0.0,1592,0,21292,0
1288,1758997996.0155635,0.1888,0.0,1588,0,21296,0
1321,1758997996.0158627,0.1965,0.0,1592,0,21296,0
1354,1758997996.0161595,0.1882,0.0,1588,0,21300,0
1387,1758997996.0164523,0.1971,0.0,1592,0,21292,0
1420,1758997996.0167449,0.1888,0.0,1588,0,21296,0
1453,1758997996.0170374,0.1965,0.0,1592,0,21296,0
1486,1758997996.0173335,0.1888,0.0,1588,0,21296,0
1519,1758997996.0176263,0.1888,0.0,1588,0,21296,0
1552,1758997996.0179193,0.1971,0.0,1592,0,21292,0
1585,1758997996.0182245,0.1965,0.0,1592,0,21296,0
1618,1758997996.0185187,0.1971,0.0,1592,0,21292,0
1651,1758997996.0188184,0.1971,0.0,1592,0,21292,0
1684,1758997996.0191214,0.1965,0.0,1592,0,21296,0
1717,1758997996.0194347,0.1971,0.0,1592,0,21292,0
1750,1758997996.0197294,0.1965,0.0,1592,0,21296,0
1783,1758997996.0200343,0.1965,0.0,1592,0,21296,0
1816,1758997996.020328,0.1888,0.0,1588,0,21296,0
1849,1758997996.0206392,0.1971,0.0,1592,0,21292,0
1882,1758997996.0209324,0.1965,0.0,1592,0,21296,0
1915,1758997996.021225,0.1971,0.0,1592,0,21292,0
1948,1758997996.0215306,0.212,0.0,1600,0,21296,0
