Kanal 2: f = 0.0 Hz, duty = 0.00 %
Kanal 2: f = 46.9 Hz, duty = 7.28 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.24 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.29 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.8 Hz, duty = 7.29 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.8 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.8 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.8 Hz, duty = 7.33 %
Kanal 2: f = 46.8 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.31 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.33 %
Kanal 2: f = 46.9 Hz, duty = 7.29 %
